"type","choice_list","type_options","name","label","label_parsed","optional","class","showif","value","block_order","item_order","choices","index"
"range","slider_21","1,100,1","slider_21","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"U",11,"1=Left,2=Right",26
"range","slider_25","1,100,1","slider_25","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"Y",11,"1=Left,2=Right",27
"range","slider_29","1,100,1","slider_29","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"CC",11,"1=Left,2=Right",28
"range","slider_33","1,100,1","slider_33","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"GG",11,"1=Left,2=Right",29
"range","slider_37","1,100,1","slider_37","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"KK",11,"1=Left,2=Right",30
"submit",,,"page_4","Continue","Continue",0,,"",,"A",12,,31
"submit",,,"page_8","Continue","Continue",0,,"",,"E",12,,32
"submit",,,"page_12","Continue","Continue",0,,"",,"I",12,,33
"submit",,,"page_16","Continue","Continue",0,,"",,"M",12,,34
"submit",,,"page_20","Continue","Continue",0,,"",,"Q",12,,35
"submit",,,"page_24","Continue","Continue",0,,"",,"U",12,,36
"submit",,,"page_28","Continue","Continue",0,,"",,"Y",12,,37
"submit",,,"page_32","Continue","Continue",0,,"",,"CC",12,,38
"submit",,,"page_36","Continue","Continue",0,,"",,"GG",12,,39
"submit",,,"page_40","Continue","Continue",0,,"",,"KK",12,,40
"note",,,"note_catch1","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/lChhSF2IxHyyezgRtMUU/catch1.png?v=1774440479"" alt=""40a_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/lChhSF2IxHyyezgRtMUU/catch1.png?v=1774440479"" alt=""40a_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"",13,,41
"range","slider_catch1","1,100,1","slider_catch1","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"",14,"1=Left,2=Right",42
"submit",,,"page_catch1","Continue","Continue",0,,"",,"",15,,43
"note",,,"note_41","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/_mBOo9VQx1El4Xc2ZkLL/41_kolaz.png?v=1773301051"" alt=""41_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/_mBOo9VQx1El4Xc2ZkLL/41_kolaz.png?v=1773301051"" alt=""41_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"OO",16,,44
"note",,,"note_45","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/_mBOo9VQx1El4Xc2ZkLL/45_kolaz.png?v=1773301051"" alt=""45_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/_mBOo9VQx1El4Xc2ZkLL/45_kolaz.png?v=1773301051"" alt=""45_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"SS",16,,45
"note",,,"note_49","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/EyC0NjX9_3F0Mnm6WyN3/49_kolaz.png?v=1773301097"" alt=""49_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/EyC0NjX9_3F0Mnm6WyN3/49_kolaz.png?v=1773301097"" alt=""49_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"WW",16,,46
"note",,,"note_53","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/chP8DgyKUm85E9a8MHmV/53_kolaz.png?v=1773301272"" alt=""53_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/chP8DgyKUm85E9a8MHmV/53_kolaz.png?v=1773301272"" alt=""53_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"AZA",16,,47
"note",,,"note_57","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/tmFZ025aBsTtVqZmd0jo/57_kolaz.png?v=1773301289"" alt=""57_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/tmFZ025aBsTtVqZmd0jo/57_kolaz.png?v=1773301289"" alt=""57_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"EA",16,,48
"note",,,"note_61","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/s_s_n2HLzygqn3r6EjA4/61_kolaz.png?v=1773301676"" alt=""61_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/s_s_n2HLzygqn3r6EjA4/61_kolaz.png?v=1773301676"" alt=""61_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"IA",16,,49
"note",,,"note_65","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/s_s_n2HLzygqn3r6EjA4/65_kolaz.png.jpg?v=1773301676"" alt=""65_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/s_s_n2HLzygqn3r6EjA4/65_kolaz.png.jpg?v=1773301676"" alt=""65_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"MA",16,,50
"note",,,"note_69","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/XfpOZiVRhp1MgBXMzA5F/69_kolaz.png?v=1773301694"" alt=""69_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/XfpOZiVRhp1MgBXMzA5F/69_kolaz.png?v=1773301694"" alt=""69_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"QA",16,,51
"note",,,"note_73","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/6aQM6l0JaSsnvo-jdJ2X/73_kolaz.png?v=1773301951"" alt=""73_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/6aQM6l0JaSsnvo-jdJ2X/73_kolaz.png?v=1773301951"" alt=""73_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"UA",16,,52
"note",,,"note_77","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/BLEP8nkzeEoRMf_ySlpT/77_kolaz.png?v=1773301985"" alt=""77_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/BLEP8nkzeEoRMf_ySlpT/77_kolaz.png?v=1773301985"" alt=""77_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"YA",16,,53
"range","slider_41","1,100,1","slider_41","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"OO",17,"1=Left,2=Right",54
"range","slider_45","1,100,1","slider_45","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"SS",17,"1=Left,2=Right",55
"range","slider_49","1,100,1","slider_49","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"WW",17,"1=Left,2=Right",56
"range","slider_53","1,100,1","slider_53","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"AZA",17,"1=Left,2=Right",57
"range","slider_57","1,100,1","slider_57","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"EA",17,"1=Left,2=Right",58
"range","slider_61","1,100,1","slider_61","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"IA",17,"1=Left,2=Right",59
"range","slider_65","1,100,1","slider_65","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"MA",17,"1=Left,2=Right",60
"range","slider_69","1,100,1","slider_69","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"QA",17,"1=Left,2=Right",61
"range","slider_73","1,100,1","slider_73","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"UA",17,"1=Left,2=Right",62
"range","slider_77","1,100,1","slider_77","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"YA",17,"1=Left,2=Right",63
"submit",,,"page_44","Continue","Continue",0,,"",,"OO",18,,64
"submit",,,"page_48","Continue","Continue",0,,"",,"SS",18,,65
"submit",,,"page_52","Continue","Continue",0,,"",,"WW",18,,66
"submit",,,"page_56","Continue","Continue",0,,"",,"AZA",18,,67
"submit",,,"page_60","Continue","Continue",0,,"",,"EA",18,,68
"submit",,,"page_64","Continue","Continue",0,,"",,"IA",18,,69
"submit",,,"page_68","Continue","Continue",0,,"",,"MA",18,,70
"submit",,,"page_72","Continue","Continue",0,,"",,"QA",18,,71
"submit",,,"page_76","Continue","Continue",0,,"",,"UA",18,,72
"submit",,,"page_80","Continue","Continue",0,,"",,"YA",18,,73
"note",,,"note_catch2","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/lChhSF2IxHyyezgRtMUU/catch2.png?v=1774440479"" alt=""83a_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/lChhSF2IxHyyezgRtMUU/catch2.png?v=1774440479"" alt=""83a_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"",19,,74
"range","slider_catch2","1,100,1","slider_catch2","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"",20,"1=Left,2=Right",75
"submit",,,"page_catch2","Continue","Continue",0,,"",,"",21,,76
"note",,,"note_81","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/v2mkoWBhZx09K7pRaAi8/81_kolaz.png?v=1773302214"" alt=""81_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/v2mkoWBhZx09K7pRaAi8/81_kolaz.png?v=1773302214"" alt=""81_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"CB",22,,77
"note",,,"note_85","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/v2mkoWBhZx09K7pRaAi8/85_kolaz.png?v=1773302214"" alt=""85_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/v2mkoWBhZx09K7pRaAi8/85_kolaz.png?v=1773302214"" alt=""85_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"GB",22,,78
"note",,,"note_89","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/2kPFwzc3r2loWUA62n4_/89_kolaz.png?v=1773302258"" alt=""89_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/2kPFwzc3r2loWUA62n4_/89_kolaz.png?v=1773302258"" alt=""89_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"KB",22,,79
"note",,,"note_93","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/gWHfG6lcdiYJo10eurWn/93_kolaz.png.png?v=1773306232"" alt=""93_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/gWHfG6lcdiYJo10eurWn/93_kolaz.png.png?v=1773306232"" alt=""93_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"OB",22,,80
"note",,,"note_97","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/ZcGbb4V25dETOBp_cx9y/97_kolaz.png?v=1773306195"" alt=""97_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/ZcGbb4V25dETOBp_cx9y/97_kolaz.png?v=1773306195"" alt=""97_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"SB",22,,81
"note",,,"note_101","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/biGG6QsDc7CRwuqPSJLE/101_kolaz.png?v=1773306165"" alt=""101_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/biGG6QsDc7CRwuqPSJLE/101_kolaz.png?v=1773306165"" alt=""101_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"WB",22,,82
"note",,,"note_105","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/biGG6QsDc7CRwuqPSJLE/105_kolaz.png?v=1773306165"" alt=""105_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/biGG6QsDc7CRwuqPSJLE/105_kolaz.png?v=1773306165"" alt=""105_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"ACA",22,,83
"note",,,"note_109","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/kduwMGZcBYkUAj5w3Hu1/109_kolaz.png?v=1773306148"" alt=""109_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/kduwMGZcBYkUAj5w3Hu1/109_kolaz.png?v=1773306148"" alt=""109_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"EC",22,,84
"note",,,"note_113","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/pOKQtuKJ_nGM7po_3aZa/113_kolaz.png?v=1773306130"" alt=""113_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/pOKQtuKJ_nGM7po_3aZa/113_kolaz.png?v=1773306130"" alt=""113_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"IC",22,,85
"note",,,"note_117","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/7fC5VmSisKf7jme8u60d/117_kolaz.png.jpg?v=1773306102"" alt=""117_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/7fC5VmSisKf7jme8u60d/117_kolaz.png.jpg?v=1773306102"" alt=""117_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"MC",22,,86
"range","slider_81","1,100,1","slider_81","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"CB",23,"1=Left,2=Right",87
"range","slider_85","1,100,1","slider_85","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"GB",23,"1=Left,2=Right",88
"range","slider_89","1,100,1","slider_89","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"KB",23,"1=Left,2=Right",89
